Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Solesco Co-operative,http://solesco.co.uk,https://communityenergyengland.org/files/img_cache/1966/340_260_1668702198_Solesco.png?1668709321,"Solesco is a community energy co-operative which aims to develop and manage a series of renewable energy installations in West Sussex, particularly in the Arun and Chichester Districts.

Solesco provides residents with an opportunity to make an ethical, ecologically sound investment which is visible to the local community.

It provides landlords and building owners with an opportunity to reduce their carbon emissions whilst benefitting from cheaper electricity on a firm-price contract for 20 years typically.

Solesco’s financial model is based on an effective, proven model which has been employed successfully elsewhere in Britain and in Europe.",,PO19 7XY,50.837944,-0.773368
South Brent Community Energy Society Ltd,http://www.sbces.org.uk/,http://www.sbces.org.uk/SBCES_Images/SBCES%20Logo%20sm.png,"The Society was established in 2011 by members of Sustainable South Brent to take forward a medium size wind turbine project for the benefit of the community. The Vestas V27 wind turbine, rated at 225kW, was installed in August 2013 and began generating electricity in September 2013.

The Society also owns the 9.88kWp PV array on the South Brent Recreation Association's pavilion building, which was installed in June 2014 and has generated over 98,000kWh to end of November 2024.",,TQ10 9BP,50.426107,-3.833214
South Dartmoor Community Energy,http://www.southdartmoorcommunityenergy.org/,https://communityenergyengland.org/files/img_cache/1965/340_260_1668702171_southdartmoor.png?1668709321,Investing in Clean Energy and a Greener Tomorrow,"Courtenay House, Pynes Hill, Exeter, Devon",EX2 5AZ,50.710293,-3.486758
South East London Community Energy (SELCE),http://selce.org.uk,https://communityenergyengland.org/files/img_cache/2243/340_260_1675868253_SELCE.png?1676063740,"South East London Community Energy (Selce) was born in 2014, when a group of people living in Greenwich & Lewisham became so concerned about climate change that they decided to come up with a formula that would help to create a clean and just energy future.

We seek to create a clean and just transition to an energy system that is fit for the future through:

- Distributed and renewable energy
- Reductions in energy demand
- Leaving no one behind 

Throughout our first ten years, we have set up projects that address inequality and seek to reduce our collective carbon footprint at different points in the energy systems.

To date we have built 11 solar arrays on community buildings in South East London and several buildings’ lighting systems to be more energy efficient.  

We’ve helped well over 4000 households struggling with their energy bills through our energy advice service. And we are pleased to now be able to help homeowners make their homes more cosy and energy efficient through the Love Lofts and Future Fit Homes pilot programmes.",,SE10 9EQ,51.485714,0.006218
South Gloucestershire Community Energy Network,https://sgcen.org/,,"Our aim is to work with people in South Gloucestershire to:

- Create community owned renewable energy generation projects that bring funds into the local community
- Provide advice and information on home energy saving and where to get support
- Facilitate greater connections and knowledge and idea sharing between community climate, nature and energy groups within South Gloucestershire
- And more learning from other networks elsewhere, and developing your ideas!

We are in the very early stages of formation, and we'd love to co-explore and create the network with you!  We are working closely with our friends and allies at Bristol Energy Co-operative and Bristol Energy Network to learn from their experience and bring some of their skills and knowledge with a specific South Gloucestershire focus. We are also governed by a steering group of local climate and nature groups whose ideas and expertise are informing our strategy!","23 Grange Avenue, Little Stoke, Bristol",BS34 6JY,51.525158,-2.559018
South Somerset Community Energy Society,https://www.sscom.energy/,https://communityenergyengland.org/files/img_cache/2550/340_260_1708700300_SouthSomersetCommunityEnergySociety.png?1708700305,"South Somerset Community Energy (SSCES) is a not-for-profit Community Benefit Society, whose aims are to reduce carbon emissions and fuel bills, especially for those in fuel poverty, throughout South Somerset.

The Society is owned by its Members (investors). South Somerset Community Energy Society Limited (Registration number 7075) is registered under the Co-operative and Community Benefit Societies Act 2014. A key point is that any surplus the Society generates has to be put towards other community energy and fuel poverty projects across the district of South Somerset.

We fund and manage renewable energy installations in the district of South Somerset, starting with installing solar PV systems on schools, community buildings, businesses and private homes. Our solar arrays are on roofs at Westfield Academy and Abbey Community Association's hall in Yeovil; Holyrood Academy in Chard and Stanchester Academy in Stoke sub Hambdon.",,BA9 9BY,51.055298,-2.421362
Southern Staffordshire Community Energy,http://www.ssce.co.uk/,https://communityenergyengland.org/files/img_cache/1963/340_260_1668701818_SSCE.png?1668715196,"We are a nonprofit community energy society based in Staffordshire, working in partnership to deliver clean energy that benefits people, place & planet. 

At Staffordshire Community Energy, we began with a shared vision of a cleaner, more sustainable future that added social value as well as decarbonisation. Learn about our journey and the dedicated team driving our mission forward.","3 Burns Close, Lichfield, Staffordshire",WS14 9DW,52.675574,-1.828396
Southill Community Energy,http://southillcommunityenergy.co.uk/,https://communityenergyengland.org/files/img_cache/1964/340_260_1668702129_SouthillCommunityEnergy.jpg?1668715196,"Southill Community Energy is a ‘community benefit society’. It is run by a community of members, and aims to encourage, inspire and empower local people and organisations to reduce their carbon emissions. 

SCE developed and operates Southill Solar, which has been generating green electricity since November 2016. Community funding comes from surpluses generated by our solar farm, after we pay operating costs and pay interest to our members.

Forecasts show that we will have on average £30,000 a year to invest locally. That’s around £750,000 over the life of the project.

Through a programme of grants, we use these funds to invest to support local low-carbon initiatives in the community. Read more about our impact and how to apply for local grants.",,OX7 3AH,51.851173,-1.461885
Springbok Sustainable Wood Heat,http://www.springbokwoodheat.co.uk/,https://communityenergyengland.org/files/img_cache/1960/340_260_1668701516_Springbok.png?1668715196,The members of Springbok Co-op are seeking to protect and enhance their local environment and to mitigate the impacts of climate change by supporting the sustainable development of their community.  ,,GU6 8HT,51.10288,-0.52747
St John's Sunshine,http://stjohnssunshine.org.uk,https://communityenergyengland.org/files/img_cache/1962/340_260_1668701624_StJohns.png?1668715196,"St John’s Sunshine is a Registered Society, owned and run by its members for the benefit of local people and communities. It has 6 core objectives, listed within its Rules:

- To generate low carbon energy.
- To distribute grants and aid to people primarily within Old Trafford that benefit the community or the environment.
- To act responsibly and in a way that balances the benefits to society, the environment and the local economy.
- To explore means that reduce our environmental impacts and encourage others to do so.
- To encourage the local community to engage with issues that reflect society, the environment and economic matters in a balanced way.
- To provide the people of Old Trafford and beyond an opportunity to invest in options that fulfill the above.","St John's Centre, St John's Road, Old Trafford, Manchester",M16 7GX,53.457139,-2.268164
Stroud Area Community Energy Network,http://www.transitionstroud.org/,https://transitionstroud.org/wp-content/uploads/2020/08/cropped-cropped-Very-wide-logo-2-1-scaled.jpg,"Transition Stroud is a network for people and groups working on the transition to a locally-based low carbon lifestyle. We work through action groups to focus on key areas such as transport, food, energy, reuse and repair to help reduce our impact on the climate.",,GL5 2AA,51.744194,-2.216672
Suffolk Environmental Services CIC Ltd,,,,,,,
Summerbridge Methodist Church,https://www.summerbridgechurch.org/,"https://static.wixstatic.com/media/082c68_52b8684700f642f0a006e508dbea4f53~mv2.png/v1/fill/w_192,h_192,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/082c68_52b8684700f642f0a006e508dbea4f53~mv2.png","Summerbridge Methodist Church was built in 1894, replacing a Wesleyan Chapel situated where the village school currently stands. We are one of five churches in the Pateley Bridge Methodist Circuit, and part of a grouping of local Churches called the Church in the Dale. The Church is known for the warm welcome it offers to everyone, as well as its vibrant Young Church and youth and children’s work. We are passionate about reaching out to our community in evangelism and service.",,HG3 4JH,54.059647,-1.696262
Sunrise Community Energy,https://www.uk.coop/directory/sunrise-community-energy,https://communityenergyengland.org/files/img_cache/1961/340_260_1668701585_SunriseComunityEnergy.png?1668715196,"Community energy is a concept where people who live in an area club together to develop renewable energy projects for the benefit of their community. This can include solar panels, hydro power, wind turbines and wood fuelled boilers. Ownership, control and therefore revenues are kept within the local economy and people have a greater say on how projects get developed and also get a share of the financial benefits.

Sunrise has been established to deliver projects in Ipswich and Suffolk (East Suffolk being the Sunrise Coast).

For our first project we are looking to crowdfund a number of solar PV arrays on rooftops in Ipswich.","61-63 Austin Street
Ipswich
Suffolk",IP2 8DF,52.04937,1.154755
Surrey Community Energy,https://www.surreycommunityenergy.org/,https://communityenergyengland.org/files/img_cache/2784/340_260_1732883309_SCElogo.jpg?1732917313,"Surrey Community Energy (SCE) is a Community Benefit Society run by volunteers to develop, own and manage clean energy installations. Our goal is to increase energy independence for the county through the installation of renewable energy projects, providing lower cost power, creating jobs in innovative new areas, and contributing toward Surrey's climate change targets. ","Ashcombe Court, Woolsack Way, Godalming, Surrey",GU7 1LQ,51.185602,-0.605321
Surya Community Energy,https://www.suryacommunityenergy.co.uk/,https://communityenergyengland.org/files/img_cache/2833/340_260_1737044403_suryacommunityenergy.png?1737044461,"Surya Community Energy is on a mission to empower temples and community-owned buildings in the UK to generate their own clean energy through rooftop solar panels. 

Surya Community Energy is a not-for-profit cooperative that offers a win-win model. By owning the solar panels, we are responsible for financing, installing, and maintaining them. The host organisations benefit from cheaper and cleaner energy, the community benefits from the profits invested in local projects, and shareholders can own a piece of the project whilst earning interest on their investment. 

Our bottom line is to reduce carbon emissions and support the community, not to make profits.",,SK9 5AF,53.325524,-2.236049
Sustainable Blackawton,https://blackawtoncommunity.com/sustainable-blackawton/,,Sustainable Blackawton helped to draft the Blackawton Parish Council Environmental Policy.,,TQ9 7BG,50.346308,-3.680304
Sustainable Calne,https://sustainablecalne.org.uk/,https://communityenergyengland.org/files/img_cache/1977/340_260_1669220377_SClogosmall.png?1669287365,Working in the community for a more sustainable future in Calne,,SK9 5AF,53.325524,-2.236049
Sustainable Charlbury,http://sustainablecharlbury.org,https://communityenergyengland.org/files/img_cache/2246/340_260_1675868468_SustainableCharlbury.png?1675951256,"Sustainable Charlbury provides grants for projects that reduce carbon emissions and help restore nature. These are funded from revenues generated by the Southill Community Energy solar farm, bringing real benefits to Charlbury and the local community in West Oxfordshire.","The Pump House, Coton Hill, Shrewsbury",OX7 3EW,51.85837,-1.48111
Sustainable Danbury,https://sustainabledanbury.org/,https://communityenergyengland.org/files/img_cache/2842/340_260_1737723281_SustainableDanbury.png?1737754044,We are a community group formed to help Danbury become sustainable for current and future generations. We are registered as a community benefit society. ,"4 Runsell Lane, Danbury, Chelmsford",CM3 4NZ,51.721833,0.586268
Sustainable Energy (SE) 24,http://se24.co.uk/,https://communityenergyengland.org/files/img_cache/2248/340_260_1675868527_SE24.png?1675951256,"SE24 is a south London community energy group. We aim to encourage and develop locally-owned renewable energy projects, and energy conservation measures, so that we can all reduce our dependence on fossil fuels and put money back into the local community to challenge fuel poverty.","8 Poplar Walk, Herne Hill, London",SE24 0BU,51.459796,-0.096737
Sustainable Hayfield,https://www.sustainablehayfield.com/,https://communityenergyengland.org/files/img_cache/2249/340_260_1675868603_SustainableHayfield.gif?1675902889,How can our community best respond to the challenges of Climate Change to create a more sustainable future for our children?,,SK22 2JE,53.378776,-1.945136
Sustainable Hockerton Ltd.,http://sustainablehockerton.org/,https://communityenergyengland.org/files/img_cache/2549/340_260_1708617606_SustainableHockerton.png?1708687621,"In 2006 residents of our small Nottinghamshire village got together to look at how they could reduce their community's carbon footprint. Sustainable Hockerton was born!

The aim of Sustainable Hockerton is to make Hockerton a more sustainable village and reduce the amount of carbon released into the atmosphere. This would include meeting its own energy needs from renewable sources.","The Watershed, Gables Drive, Hockerton, Newark, Notts",NG25 0QU,53.097533,-0.929961
Sustainable Lastingham,https://www.lastinghamvillage.org/news,,"This group was formed to see what can be done, locally, to play our part in combating the global warming crisis. Additionally, it aims to help villagers to reduce their energy bills and to investigate innovative ways to make a difference'.

In tandem with this, a WhatsApp group has been formed called Lastingham Village Hub. If you wish to join this group, please email: info@sustainablelastingham.org.uk",,YO62 6TL,54.304242,-0.881669
SY Ecofit,https://www.ecofit.uk/,https://communityenergyengland.org/files/img_cache/2569/340_260_1711374876_SYEcofitLogo.png?1711379443,"Welcome to Ecofit, a social enterprise dedicated to making South Yorkshire’s homes more comfortable and energy efficient, whilst helping meet our net zero target.

We collaborate with community groups on decarbonisation projects. These include retrofitting, creating clean energy projects promoting alternative fuels and creating a network of community ambassadors to inspire behaviour change.

We work with local contractors, and build the skills of people in South Yorkshire. As a local organisation, homeowners can trust that we are here to support them.","15 Paternoster Row, Sheffield",S1 2BX,53.377075,-1.465687
Tamar Energy Community,http://tamarenergycommunity.com/,https://communityenergyengland.org/files/img_cache/1959/340_260_1668701440_TamarEnergyCommunity.png?1668712714,"Tamar Energy Community is a not for profit, community owned social enterprise run by our members. We localise energy.

We provide independent energy advice and support, develop community owned renewable energy projects, and are working to understand how local people can gain greater benefit from the changing energy market.

Addressing the Climate and Biodiversity Emergency and how we can Build Back Better is at the core of our work. We welcome your support in helping us achieve this together.",,PL19 8PB,50.540904,-4.224156
Tamworth Energy Action CIC,http://www.tamworthenergyaction.org.uk/,https://communityenergyengland.org/files/img_cache/2826/340_260_1736866280_TamworthEnergyActionScreenshot2025-01-14145043.png?1736866283,"Our Mission: To make Tamworth 100% self-sufficient in energy by harnessing solar, wind, and battery power. Our goal is to create new job opportunities, support local businesses, and provide ultra-low-cost energy for our community.

Our Key Goals:
- Slash energy bills, helping to alleviate fuel poverty.
- Improve public health by eliminating exhaust fumes and combustion gases.
- Create new job opportunities in the renewable energy sector.
- Boost local businesses with cheaper energy and new services.",,B79 7PA,52.633324,-1.691784
Teign Energy Communities Ltd.,http://teignenergycommunities.co.uk,https://communityenergyengland.org/files/img_cache/1958/340_260_1668701356_Teign.png?1668811977,"Our Vision: To achieve the widest possible community engagement with energy use and energy generation. We want people in the local area to become more aware of, and engaged with their use of energy, so that energy becomes as familiar as money.
 
How have we done this? We have set up a Community Benefit Society (CBS).  This allows us to help you realise your Renewable Energy installations, Energy Saving project or simply to raise your awarenes on Energy matters.  TECs has a broad range of experience and wide network of individuals and organisations we can call on.  We are a not-for-profit co-operative with a secure income, this allows us to offer most of our support for free.","Deer Park Farm, Haccombe, Newton Abbot",TQ12 4SJ,50.520571,-3.555455
Test Source Community Energy,https://www.testsource.org.uk/,https://communityenergyengland.org/files/img_cache/2253/340_260_1675868834_testsource.jpg?1675902889,"We are Test Source Community Energy, a new community enterprise in Overton.

We have set up this community owned enterprise to bring more renewable energy to Overton and raise funds for other energy related projects.

​We will be crowd funding to buy and install solar panels on local buildings.",,RG25 3HB,51.24384,-1.264493
Thames Head Energy,https://thamesheadenergy.org/,https://communityenergyengland.org/files/img_cache/2357/340_260_1685096710_THELogo2.png?1685098752,"NetZero and Cost Savings By the Community, For the Community

A community energy social enterprise based near the source of the River Thames. Covering Somerford Keynes, Shorncote, the Lower Mill Estate, Kemble and Ewen. We are looking to expand further by welcoming other communities in the area in future.","Thames House Lower Mill Lane, Somerford Keynes, Cirencester",GL7 6BG,51.64843,-1.96887
The C.H.E.E.S.E. Project CIC,https://cheeseproject.co.uk/,https://communityenergyengland.org/files/img_cache/2254/340_260_1675868900_Thecheese.jpg?1675925955,Award winning thermal imaging surveys for Bristol homes,,BS15 3FR,,
The Climate Coalition,http://www.theclimatecoalition.org,https://communityenergyengland.org/files/img_cache/1957/340_260_1668701321_TheClimateCoalition.png?1668811977,"People are powerful, especially when we come together.

The Climate Coalition brings people together to demand action for people, climate and nature. Over 20 years, we’ve grown into the UK’s biggest group of organisations and communities protecting what we love from the impacts of climate change and nature loss.

Together, we've made big changes—from helping secure the UK’s legal promise to reach net zero and inspiring hundreds of thousands through campaigns like Show the Love and Great Big Green Week.

By uniting voices, we've proven that people power works. And we're not stopping. We’ll keep pushing leaders to act, making sure climate and nature stay a top priority for healthier, fairer future for everyone.",,SE1 7JB,51.498382,-0.106558
The Neighbourhood Project CIC,https://www.neighbourhoodproject.org.uk/,https://communityenergyengland.org/files/img_cache/2827/340_260_1736866395_TheNeighbourHoodProjectScreenshot2025-01-14145232.png?1736866400,"Our aim is to turn neighbourhoods from simply areas of housing to thriving communities.

Back in 2013, the Neighbourhood Project was set up by a group of people who felt where we live – our neighbourhoods - should be more than just houses where people eat, watch TV and sleep.  They strongly wanted us to live in thriving communities were people took an interest in what happened locally and got involved, whether by going along to a public meeting, volunteering, or setting up a new community project. They could also see that places which have declined would not successfully turn themselves around – regenerate themselves - without the involvement of their residents as it is they who know their neighbourhoods better than anybody else and what is likely to succeed locally.  Above all, they wanted people to feel positive about where they lived - a sense of belonging and pride in their neighbourhoods.",,BD23 1DZ,53.961388,-2.015895
The Small Wind Co-Op,http://smallwind.org.uk/,https://communityenergyengland.org/files/img_cache/1968/340_260_1668702314_Smallwindcoop.png?1668811977,"The Small Wind Co-op is an energy co-operative which owns turbines in Scotland, Wales and soon England.

We started by building on the things people have told us they want from an energy company. The result is the Small Wind Co-op. People told us that they:

- Don’t trust the big energy companies, which is why we are a small co-operative, which is completely owned and run by its members – no fat cats here.
- Want to directly support renewable energy in the UK, so we started off by building 3 medium-scale wind turbines on 2 farms in Scotland and Wales, and have plans to build more across the UK.
- Want a fair deal on energy. Members of the Small Wind Co-op can use the energy they generate in their own home.

Our initial share and bond offers raised £1.4m. When we have open offers, members of the public can join us for as little as £100 and will get a fair return on their capital.

Because we’re a co-operative, we’ll also be creating community funds for the areas around the turbine sites.",,SY1 2DP,52.713913,-2.752236
Thrive Renewables Plc,https://www.thriverenewables.co.uk/,https://communityenergyengland.org/files/img_cache/1956/340_260_1668701271_ThriveRenewables.jpg?1668768469,"Thrive Renewables is a renewable energy investment company and has been funding, building and operating clean energy projects since 1994.",,BS1 5AS,51.451617,-2.603941
Tollesbury Climate Partnership,https://tollesburyclimate.org/,https://communityenergyengland.org/files/img_cache/2327/340_260_1683287939_TCPMasterLogoStraplineRGBAW1.png?1683288199,"Tollesbury Climate Partnership was setup in 2021 by a group of concerned residents wanting to see what could be achieved within our village to tackle climate change and to live more sustainably.

Our vision is that our community will be working together to reduce the impact of climate change and protect the Tollesbury we love for future generations. We are proud of what we have achieved to date, but would encourage all to get involved in whatever way you can to help.","47 Station Rd, Tollesbury, Essex",CM9 8RB,51.760653,0.833211
Totnes Renewable Energy Society,http://tresoc.co.uk,https://communityenergyengland.org/files/img_cache/2259/340_260_1675869260_Tresoc.png?1675909268,"Totnes Renewable Energy Society, TRESOC, was formed in November 2007 by a group of local residents concerned about climate change. Our first share offers in 2010 and 2011 were primarily to finance the 4.6MW Totnes Community Wind Farm, and attracted over 500 members, mainly from the local Totnes community. During the engagement with the wind farm, TRESOC installed two rooftop solar projects. In 2012, we installed 27 kW at the NHS’s Leatside GP Surgery, and, in 2013, 7 kW at Follaton Community Centre. Both Leatside Surgery and Follaton Community Centre receive all the solar energy they can use on site for free.",,TQ9 5RU,50.431271,-3.686586
Transition Bewdley,https://www.facebook.com/transitionbewdley/,https://communityenergyengland.org/files/img_cache/2261/340_260_1675869473_TransitionBewdley.jpg?1675928634,Transition Bewdley promotes a more sustainable satisfying way of life countering the effects of climate change and reducing dependence on fossil fuels,"Bewdley, Wyre Forest District, Worcestershire",DY12 2AE,52.375395,-2.315786
Transition Bude,https://maps.transitionnetwork.org/group/transition-bude/,https://communityenergyengland.org/files/img_cache/2215/340_260_1675847002_transitionBude.png?1675869205,We run a weekly community larder with 30-40 people attending and we have started a project to fit reflective material to radiators. In the past year we have run two Gardening for Nature events and a film night.,,EX23 8JE,50.834461,-4.536956
Transition Constantine,http://constantinecornwall.com/transition,https://communityenergyengland.org/files/img_cache/1953/340_260_1668701170_Transition_Constantine.png?1668714565,"Vision: Our vision is that Constantine will be a zero-carbon sustainable community.

Aims: Our aims are that:
- heat, light and transport are fuelled as much as possible by locally generated renewable energy
- our food and drink are produced closer to home
- the community is culturally rich, broadly skilled and self-reliant
- more of the essential things we use are produced locally
- less stuff is bought that becomes rubbish
- re-use and recycling are the norm
- we have fun!",,TR15 3QW,50.220149,-5.271721
Transition Eynsham Area,"https://eynsham.org.uk/org.aspx?n=GreenTEA#:~:text=GreenTEA%20%28Green%20Transition%20Eynsham%20Area%29%20is%20about%20helping,enabling%20us%20to%20live%20within%20the%20planet%E2%80%99s%20resources.",https://communityenergyengland.org/files/img_cache/1955/340_260_1668701234_TransitionEyansham.png?1668714565,"GreenTEA (Green Transition Eynsham Area) is about helping people to make the transition to a more sustainable lifestyle, one which is independent of fossil fuels. The emphasis is on grassroots action and building a more resilient community, enabling us to live within the planet’s resources. We can offer advice and support on lowering your carbon footprint through five working groups which focus on the areas outlined in the tabs above. We work with residents across the Eynsham, Aston, Cassington, Farmoor, Freeland, Long Hanborough, Standlake, and Stanton Harcourt areas. GreenTEA is an Oxfordshire Community Action Group (CAG) and is also registered as a part of the Friends of the Earth local action group network.

We send out a monthly e-newsletter, The Brew, which includes details on local events as well as national and international news relating to sustainability and the environment.",,OX29 4PF,51.780467,-1.378708
Transition Town Maidenhead,https://maps.transitionnetwork.org/group/maidenhead/,https://communityenergyengland.org/files/img_cache/1954/340_260_1668701202_TransitionTownMaidenhead.jpg?1668714565,"We are a group of people from the Maidenhead area who are working together, imagining and creating a future that addresses the twin challenges of diminishing oil and gas supplies and climate change, and creates the kind of community that we would all want to be part of.

We believe that only by involving all of us – residents, businesses, public bodies, community organisations and schools – will we come up with the most innovative, effective and practical ideas, and have the energy and skills to carry them out. Our future has the potential to be more rewarding, abundant and enjoyable than today, and by working together we can unleash the collective enthusiasm and genius of our community (that means you!) to make this transition.

With this in mind, our mission is two-fold:

- To explore and then follow pathways of practical actions that will reduce our carbon emissions and dependence on fossil fuels.
- To build the areas resilience, that is, its ability to withstand shocks from the outside, through being more self reliant in areas such as food, energy, health care, jobs and economics.","100 Pinkneys Road, Maidenhead, Berks",SL6 5DN,51.52963,-0.757111
Triodos Bank UK Ltd,https://www.triodos.co.uk/,https://communityenergyengland.org/files/img_cache/1951/340_260_1668700878_Triodos.png?1668741923,Triodos Bank is a leading expert in sustainable banking. Our mission is to make money work for positive change. We are more than a bank. We are a community. Get to know us and join the movement for change.,,BS1 5AS,,
Tropho Ltd,,,,,,,
Two Rivers Community Energy Society Limited,,,,,,,
Unisolar Limited,http://uni-solar.org,https://communityenergyengland.org/files/img_cache/1950/340_260_1668700856_UniSolar-Limited-Logo-PNG.PNG?1668741923,"UniSolar is a community energy initiative that aims to bring solar panels to the roofs of UK universities, starting with SOAS in London. 

This extremely exciting project has the multiple aims of generating renewable energy, creating opportunities for developing skills in social enterprise for the local community, supporting the university's efforts to mitigate climate change, and providing a financial return for investors from the student body, local community and society at large.

In September 2016 we successfully funded for and set up our pilot project, Solar SOAS. Although our project ended up as a crowdfunded venture rather than being a share offer, there is now 29.6KW of solar panels on the roof of the SOAS Old Building. This project will also generate a yearly green fund of up to £2000 a year for 20 years to be used by the SOAS community. We are currently planning how we can develop, improve and expand this model to other universities and public institutions.  ","SOAS Students' Union, Thornaugh Street, London",WC1H 0XG,51.52235,-0.129259
Urban Smart Power,https://www.urbansmartpower.com/,,"URB PWR - Powering the Future by accelerating renewable technology design, 
selection and deployment, optimising unused space and creating local energy 
hubs.","69 Blundell Drive, Stone",ST15 0FG,,
UrbanChain,https://www.urbanchain.co.uk/,https://communityenergyengland.org/files/img_cache/2843/340_260_1737723355_Urbanchain.png?1737754055,"Building smarter, decentralised energy markets

We’re breaking the monopoly of  wholesale energy and its impact on fuel poverty, by developing local renewables.

Local energy creates stable prices for users, improves returns for generators and helps us all move to a low-carbon future.

Since 2018, we’ve been building the technology to make it happen. Since then, we’ve inspired changes in legislation, built our own network of generators and consumers, and shown that ambitious decentralisation can work in reality.

We’re making energy fairer - and we’re not going to stop there.",,M15 6LR,53.462631,-2.238602
Uttlesford District Council,https://www.uttlesford.gov.uk/,https://communityenergyengland.org/files/img_cache/2801/340_260_1733143674_UttlesfordDistrictCouncil.png?1733143679,,"Council Offices, London Road, Saffron Walden",CB11 4ER,52.019014,0.236882
Wadebridge Renewable Energy Network,http://wren.uk.com,https://communityenergyengland.org/files/img_cache/2134/340_260_1674554493_WREN.png?1674579830,A not-for-profit company engaged in increasing the take up and sharing the benefits of renewable energy in the Wadebridge and Padstow network area.,,PL27 7EN,50.517796,-4.844063
Weardale renewable energy CIC,https://weardalerenewables.co.uk/,https://communityenergyengland.org/files/img_cache/2408/340_260_1689237615_WeardalerenewableEnergyCIC.jpg?1689265365,"Who are Weardale Renewables

- We are a “Not for Profit” Community Interest Company CIC.
- Focussed on positive action to tackle the climate change emergency, showing everyone – young and old – that change is possible driven by community.
- We Lobby the government and energy sector to make renewable energy policies fair and inclusive.
- Totally focused on renewable community energy within Weardale.
- Creating renewable energy projects within Weardale that connects the community, so they feel empowered not exploited.
- Profits and money staying local, via investor dividends, reduced energy bills and local trust fund grant spend.
- We have been evaluating a number of potential projects within the Dale with a view to engaging the community in the near future.

Community energy has become a huge part of increasing energy security in the UK and is reducing our carbon emissions to better the planet we know and love

We can’t keep on accepting rising fuel prices and increased greenhouse gases, it’s not the future we deserve!

Weardale Renewables wants to make our community part of this exciting journey to a Net Zero economy.","20 Lister Terrace East, Wolsingham, Bishop Auckland",DL13 3LD,54.730721,-1.878443
West Solent Solar Co-op,http://westsolentsolar.coop,https://communityenergyengland.org/files/img_cache/1949/340_260_1668700710_West_Solent.png?1668745250,"West Solent Solar Co-operative operates a 2.4MW solar farm which went live on 27th June 2014. We supply our power into the public grid, generating enough electricity to power approximately 650 homes.

The Co-op has 483 members who each invested capital to enable us to raise £2.6 million to build this major community energy project. We operate as a member-owned company limited by shares and follow the cooperative principle of ‘one member, one vote’. Our annual operating surplus is distributed to our members and to a community benefit fund which makes grants to local sustainability projects.",,SO41 9BQ,50.76024,-1.5429
Westmill Solar Co-operative,http://westmillsolar.coop,https://communityenergyengland.org/files/img_cache/1948/340_260_1668700669_Westmill_Solar.png?1668745250,"Westmill Solar Park is located near to Watchfield, on the Wiltshire/Oxfordshire border, just off the A420. The site consists of 30 acres of over 20,000 polycrystalline PV panels generating 4.8GWhr/year – this is approximately equivalent to the annual electricity consumption of 1,551 homes and to prevent over 1.5 tonnes of carbon dioxide emissions annually. It is, we believe, the UK’s first and world’s largest cooperatively run, community-owned solar farm. ",,SN6 8TH,51.616828,-1.665781
Westmill Sustainable Energy Trust,http://weset.org,https://communityenergyengland.org/files/img_cache/2266/340_260_1675870096_westmilltrust.png?1676075846,"Westmill, located in Oxfordshire near the Wiltshire border, is unique with both wind and solar community-owned electricity generation on one site. Both projects were pioneered by farmer Adam Twine.

Westmill Wind Farm, 100% community-owned before construction, produces electricity equivalent to the electrical energy consumed annually by over 2,500 homes, generating around £1 million income a year, and preventing nearly 5,400 tonnes of carbon dioxide emissions annually.

Adam Twine was inspired by a trip to Denmark where 20% of the country’s renewable energy generators are owned by communities. Once the planning hurdle was overcome, nearly 2,500 people opted to buy shares in the five turbines; with preference to the amount of shares given to those living locally so reaping the financial rewards, retaining the profit locally, and feeling they have ownership of energy production in their area.",,SN6 8TH,51.616828,-1.665781
Westmill Wind Farm Co-operative,https://www.westmillwind.coop/,https://communityenergyengland.org/files/img_cache/1947/340_260_1668700602_Westmill_Wind.png?1668700628,"Westmill is a working organic farm. The Westmill Wind Farm Co-op was the first 100% community owned onshore wind farm to be built in the south of England. The five turbine site at Watchfield, Swindon, SN6 8TH was commissioned in March 2008. In the last five years over 10,000 people have visited our community owned windfarm at Westmill.",,SN6 8TH,51.61683,-1.66578
WeWantWind.org,https://wewantwind.org/,https://wewantwind.org/static/icons/wewantwind.png,"Find potential wind sites, vote for sites and get started creating a community wind project!",,BN1 3HP,50.828603,-0.147786
Wey Valley Solar Schools,http://weyvalleysolar.co.uk,https://communityenergyengland.org/files/img_cache/1944/340_260_1675428526_WeyValleysignaturegraphic.png?1675428529,"Wey Valley Solar is a community owned energy co-operative set up by local people mainly from the towns of Guildford and Godalming in Surrey. The Co-op installs community funded solar panel systems on schools and other community organisations free of charge, provides energy efficiency support to its member schools, and works with schools and local community groups to maximise the environmental, educational and community impact of the solar installations. We seek to assist schools in their sustainability and educational work and to engage the local community.

As a social enterprise, Wey Valley Solar is dedicated to supporting its member organisations rather than making profits for shareholders. Our directors work for free to support our environmental and social mission. Our profits go back to our schools and other member. It’s a compelling and ethical alternative to the prevailing commercial rent-a-roof or leasing model. By installing solar panels it gives schools access to renewable energy sources and also helps them cut their energy costs with no financial risk or up-front costs. Typically agreements with schools last 20 years and when the agreement period finishes the panels are gifted to the schools as they have plenty of use left in them.",,GU2 8AA,51.2486,-0.59749
