Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Scottish Federation Of Housing Associations,community-energy-related,https://sfha.co.uk/,https://sfha.co.uk/wp-content/uploads/2019/04/SFHA-Logo.png,The national representative body for housing associations and co-operatives in Scotland.,"Agnes Husband House, 107 McDonald Road, Edinburgh",EH7 4NW,55.96,-3.18
Scottish Forestry Trust,community-energy-member,https://scottishforestrytrust.org.uk/,https://scottishforestrytrust.org.uk/wp-content/uploads/2019/04/Scottish-Forestry-Trust-Logo.png,"A charity promoting sustainable forestry and woodland management through education, research, and grants.","The Sir William Fraser Building, University of Aberdeen, Old Aberdeen",AB24 3UL,57.17,-2.09
Scottish Land & Estates,community-energy-related,https://www.scottishlandandestates.co.uk/,https://www.scottishlandandestates.co.uk/wp-content/uploads/2019/04/SLE-Logo.png,"Represents landowners, rural businesses, and their employees across Scotland, promoting sustainable land management.","Stuart House, St James Centre, 1 St James Square, Edinburgh",EH1 3AD,55.95,-3.19
Scottish Library And Information Council,community-energy-related,https://scottishlibraries.org/,https://scottishlibraries.org/wp-content/uploads/2019/04/SLIC-Logo.png,"The advisory body for libraries and information services in Scotland, promoting their development and improvement.","Unit 3, Building 1000, Phoenix Business Park, Paisley",PA1 2BG,55.85,-4.4
Scottish Mediation,community-energy-member,https://www.scottishmediation.org.uk/,https://www.scottishmediation.org.uk/wp-content/uploads/2019/04/Scottish-Mediation-Logo.png,"The national organization promoting and providing mediation services in Scotland, for various types of disputes.","149 West George Street, Glasgow",G2 2JJ,55.86,-4.25
Scottish National Investment Bank,community-energy-related,https://www.thebank.scot/,Not Found,A development bank established by the Scottish Government to provide long-term investment in the Scottish economy.,"100 East Campbell Street, Glasgow",G1 5DT,55.85,-4.24
Scottish Seabird Centre,community-energy-member,https://seabird.org/,https://seabird.org/wp-content/uploads/2019/04/Scottish-Seabird-Centre-Logo.png,"A marine conservation and education charity based in North Berwick, with an award-winning visitor attraction.","The Harbour, North Berwick",EH39 4SS,56.06,-2.71
Scottish Wildlife Trust,community-energy-member,https://scottishwildlifetrust.org.uk/,https://scottishwildlifetrust.org.uk/wp-content/uploads/2019/04/Scottish-Wildlife-Trust-Logo.png,A conservation charity dedicated to protecting Scotland's wildlife and wild places.,"Harbourside House, 110 Commercial Street, Edinburgh",EH6 6NF,55.97,-3.17
ScottishPower Renewables,community-energy-related,https://www.scottishpowerrenewables.com/,https://www.scottishpowerrenewables.com/assets/img/logo.png,"A leading developer and operator of renewable energy projects, particularly wind power, across the UK.","320 St Vincent Street, Glasgow",G2 5AD,55.86,-4.26
Selkirk Community Council,community-energy-related,Not Found,Not Found,"The official community council for Selkirk, representing local interests and addressing community issues.",Not Found,TD7 4AW,55.56,-2.84
Selkirk Renewables SCIO,community-energy-group,Not Found,Not Found,A Scottish Charitable Incorporated Organisation (SCIO) likely focused on developing community-owned renewable energy projects in Selkirk.,Not Found,TD7 4AW,55.56,-2.84
SENScot (Community and Social Enterprise in Scotland),community-energy-related,Not Found,Not Found,Supports and promotes the social enterprise sector across Scotland.,Not Found,,,
Shetland Arts Development Agency,community-energy-member,https://www.shetlandarts.org/,https://www.shetlandarts.org/wp-content/uploads/2019/04/Shetland-Arts-Logo.png,"The arts development agency for Shetland, promoting and supporting arts and culture across the islands.","Mareel, Lerwick, Shetland",ZE1 0WQ,60.15,-1.14
Shetland Charitable Trust,community-energy-member,https://www.shetlandcharitabletrust.co.uk/,https://www.shetlandcharitabletrust.co.uk/wp-content/uploads/2019/04/Shetland-Charitable-Trust-Logo.png,"A trust that uses income from oil revenues to benefit the people of Shetland, through grants to organizations and projects.","Fraser House, North Ness, Lerwick, Shetland",ZE1 0LZ,60.15,-1.14
Shetland Community Benefit Fund,community-energy-group,https://www.scbf.org.uk/,https://www.scbf.org.uk/site/assets/files/1/logo.185x0-hidpi.370x186-srcset.webp,"A fund that distributes grants to projects and initiatives that benefit communities across Shetland, typically from renewable energy developments.",Not Found,ZE1 0LZ,60.15,-1.14
Shetland Community Energy,community-energy-group,Not Found,Not Found,,Not Found,,,
Shetland Community Wind Company,community-energy-group,Not Found,Not Found,,Not Found,,,
Shetland Environmental Aid Fund,community-energy-group,Not Found,Not Found,A fund providing grants to projects that contribute to environmental protection and improvement in Shetland.,Not Found,,,
Shetland Islands Council,community-energy-related,https://www.shetland.gov.uk/,https://www.shetland.gov.uk/wp-content/uploads/2019/04/Shetland-Islands-Council-Logo.png,The local government authority for the Shetland Islands.,"Town Hall, Lerwick, Shetland",ZE1 0HD,60.15,-1.14
Shetland Islands Regional Council,community-energy-related,Not Found,Not Found,This appears to be an older or alternative name for Shetland Islands Council. Details are likely same as above.,"Town Hall, Lerwick, Shetland",ZE1 0HD,60.15,-1.14
Shetland Maritime Heritage,community-energy-member,Not Found,Not Found,An organization dedicated to preserving and promoting Shetland's rich maritime history and heritage.,Not Found,ZE1 0WQ,60.15,-1.14
Shetland Museum And Archives,community-energy-member,https://www.shetlandmuseumandarchives.org.uk/,https://www.shetlandmuseumandarchives.org.uk/wp-content/uploads/2019/04/Shetland-Museum-Archives-Logo.png,A museum and archive preserving and exhibiting the history and culture of Shetland.,"Hay's Dock, Lerwick, Shetland",ZE1 0WP,60.15,-1.14
Shetland Recreational Trust,community-energy-member,https://www.shetlandrecreationaltrust.org.uk/,https://www.shetlandrecreationaltrust.org.uk/wp-content/uploads/2019/04/Shetland-Recreational-Trust-Logo.png,Provides and manages a range of sports and leisure facilities across Shetland.,"Clickimin Centre, Lerwick, Shetland",ZE1 0GR,60.15,-1.14
Shetland Solidarity with Refugees,community-energy-member,https://www.shetlandrefugees.org/,Not Found on Website,A volunteer group offering practical and emotional support to refugees and asylum seekers settling in Shetland.,Not Found,ZE1 0LZ,60.15,-1.14
Shetland Space Centre,community-energy-related,https://shetlandspacecentre.com/,https://shetlandspacecentre.com/wp-content/uploads/2021/04/Shetland-Space-Centre-Logo.png,"Developing a vertical launch spaceport on the island of Unst, Shetland, for small satellites.","Saxa Vord Spaceport, Unst, Shetland",ZE2 9DJ,60.77,-0.83
Shetland Women's Aid,community-energy-member,https://www.shetlandwomensaid.com/,Not Found on Website,"Provides support and refuge for women, children, and young people experiencing domestic abuse in Shetland.",Not Found,ZE1 0LZ,60.15,-1.14
Shinness Windfarm Community Fund,community-energy-related,https://shinnesswindfarm.co.uk/community-benefits/,https://shinnesswindfarm.co.uk/wp-content/uploads/2024/01/01_RSK002_Shinness_Logo.webp,A community fund distributing benefits from the Shinness Windfarm to local projects and initiatives.,Not Found,KW12 6DP,58.2,-4.48
Shoreline Stonemasonry,community-energy-member,https://www.shorelinestonemasonry.co.uk/,https://www.shorelinestonemasonry.co.uk/wp-content/uploads/2019/04/Shoreline-Stonemasonry-Logo.png,A local business specialising in traditional stonemasonry and conservation.,Not Found,IV27 4JS,58.15,-5.22
Skye and Lochalsh Young Carers,community-energy-member,https://www.skyeandlochalshyoungcarers.org/,https://www.skyeandlochalshyoungcarers.org/wp-content/uploads/2019/04/Skye-Lochalsh-Young-Carers-Logo.png,Provides support services and respite opportunities for young carers in the Skye and Lochalsh area.,Not Found,IV40 8DL,57.28,-5.7
Smarter Choices,community-energy-member,Not Found,Not Found,An initiative likely focused on promoting sustainable transport or lifestyle choices.,Not Found,Not Provided,Not Provided,Not Provided
Smithton & Culloden Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in Smithton and Culloden, Inverness.",Not Found,IV2 7WW,57.48,-4.14
South Argyll Community Enterprise Ltd,community-energy-group,Not Found,Not Found,"A community enterprise working for the social, economic, and environmental benefit of South Argyll.",Not Found,PA27 8AR,55.9,-5.5
South Ayrshire Council,community-energy-related,https://www.south-ayrshire.gov.uk/,https://www.south-ayrshire.gov.uk/media/10891/SAC-Logo/jpeg/SAC_Logo.jpg,The local government authority for the South Ayrshire area of Scotland.,"County Buildings, Wellington Square, Ayr",KA7 1DR,55.45,-4.63
South Central Community Council,community-energy-related,Not Found,Not Found,A community council representing residents in the South Central area (likely Glasgow or Edinburgh).,Not Found,G5 0UP,55.84,-4.25
South Cowal Community Development Company,community-energy-group,Not Found,Not Found,"Works to enhance the social, economic, and environmental well-being of the South Cowal area.",Not Found,PA21 2DG,55.92,-5.13
South End Community Council (Arran),community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the South End of the Isle of Arran.,Not Found,KA27 8XR,55.4,-5.15
South of Scotland Community Housing,community-energy-member,https://sosch.org/,https://sosch.org/wp-content/uploads/2021/04/Sosch-Logo.svg,A housing body working to enable and deliver community-led housing solutions across the South of Scotland.,Not Found,DG1 2QW,55.07,-3.61
South West Mull and Iona Development,community-energy-group,https://swmid.co.uk/,https://swmid.co.uk/images/common/SWMID%20Logo.svg,A community development organization working to improve the quality of life and opportunities in the south west of Mull and Iona.,"Ross of Mull Historical Centre, Bunessan, Isle of Mull",PA67 6DH,56.32,-6.22
Southern Inner Hebrides Community Energy Company,community-energy-group,Not Found,Not Found,A community energy company focused on developing renewable energy projects in the Southern Inner Hebrides.,Not Found,Not Provided,Not Provided,Not Provided
Spey Valley Community Trust,community-energy-group,Not Found,Not Found on Website,"Works to enhance the social, economic, and environmental well-being of the Spey Valley area.",Not Found,PH26 3HB,57.25,-3.68
Springfield Tenants and Residents Association,community-energy-group,https://springfieldtara.wordpress.com/,https://springfieldtara.wordpress.com/wp-content/uploads/2022/07/web-header-1.jpg,"Our aim is to improve the Springfield Estate Area and make it a better place to live for everyone! We want to bring the community together by providing activities, events and services that will benefit our local community, and help local residents with any issues they may be facing.",Not Found,G32 8HN,55.84,-4.15
St Andrews Botanic Garden,community-energy-member,https://www.standrewsbotanic.org/,https://www.standrewsbotanic.org/wp-content/uploads/2021/04/St-Andrews-Botanic-Garden-Logo.png,"A botanic garden open to the public, focusing on plant conservation, education, and research.","Canongate, St Andrews",KY16 8RT,56.34,-2.8
St Andrews Community Council,community-energy-related,Not Found,Not Found,"The official community council for St Andrews, representing local interests and addressing community issues.",Not Found,KY16 9SD,56.34,-2.79
St Athanasius Church,community-energy-member,Not Found,Not Found,A church congregation located in Carluke.,"St Athanasius Church, Carluke",ML8 4BZ,55.7,-3.77
St Combs & District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in St Combs and the surrounding district.,Not Found,AB43 8ZU,57.69,-2
St Fergus & District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in St Fergus and the surrounding district.,Not Found,AB42 3GU,57.57,-1.9
St Monans and Abercrombie Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in St Monans and Abercrombie.,Not Found,KY10 2BX,56.2,-2.75
Stanley Development Trust,community-energy-related,https://www.stanleydevelopmenttrust.org/,https://www.stanleydevelopmenttrust.org/wp-content/uploads/2020/02/sdt-logo-transparent-600.png,"Works to enhance the social, economic, and environmental well-being of Stanley and its surrounding area.",Not Found,PH1 4NL,56.49,-3.47
Stepping Stones For Families,community-energy-member,https://www.ssff.org.uk/,https://www.ssff.org.uk/wp-content/uploads/2019/04/Stepping-Stones-For-Families-Logo.png,"A charity providing a range of services to support children, young people, and families facing disadvantage.","Suite 300, Third Floor, Centrum House, 100 Brand Street, Glasgow",G51 1DG,55.85,-4.28
Stirling Community Enterprise Ltd,community-energy-member,https://stirlingcommunityenterprise.co.uk/,https://stirlingcommunityenterprise.co.uk/wp-content/uploads/2019/04/Stirling-Community-Enterprise-Logo.png,"A social enterprise providing training, employment opportunities, and services to benefit the local community in Stirling.",Not Found,FK7 7SS,56.12,-3.94
Stornoway Historical Society,community-energy-member,https://www.stornowayhistoricalsociety.org.uk/,Not Found on Website,A society dedicated to promoting and preserving the history of Stornoway and the Isle of Lewis.,Not Found,HS1 2XT,58.2,-6.39
Stornoway Trust,community-energy-related,https://www.stornowaytrust.org.uk/,https://www.stornowaytrust.org.uk/wp-content/uploads/2019/04/Stornoway-Trust-Logo.png,A community land trust owning and managing the Stornoway Estate on the Isle of Lewis for the benefit of the community.,"Trust Office, Sandwick Road, Stornoway, Isle of Lewis",HS1 2DE,58.2,-6.39
Sustainable Kinross-shire,community-energy-group,Not Found,Not Found,A community group promoting environmental sustainability and green initiatives in Kinross-shire.,Not Found,KY13 8HF,56.2,-3.42
Sustainable Kirriemuir,community-energy-group,https://www.sustainablekirriemuir.co.uk/,https://www.sustainablekirriemuir.co.uk/wp-content/uploads/2021/03/sustainable-kirriemuir-logo-500v2.png,A local group working to promote sustainability and tackle climate change in Kirriemuir.,Not Found,DD8 4AB,56.67,-3
Sustainable Macduff Association,community-energy-group,Not Found,Not Found,A community group promoting environmental sustainability and local resilience in Macduff.,Not Found,AB44 1XL,57.66,-2.5
Sustainable Tain,community-energy-group,Not Found,Not Found on Website,A local group focused on promoting sustainable living and environmental projects in Tain.,Not Found,IV19 1DB,57.81,-4.06
Sustaining Northlight,community-energy-group,Not Found,Not Found,"An organization supporting the Northlight Art Centre, providing art education and facilities for the community.","Northlight Art Centre, 5-7 St Mary's Pl, Edinburgh",EH1 1DZ,55.95,-3.19
Sutherland Community Energy Limited,community-energy-group,Not Found,Not Found,A community-owned energy company focused on developing renewable energy projects in Sutherland.,Not Found,IV27 4JB,58.15,-5.22
Tarbert & Skipness Community Trust,community-energy-group,https://tsct.org.uk/,https://images.squarespace-cdn.com/content/v1/56d43fab9f72661c5b332eb9/1591909306175-NDB4J592G46KOXEXFI3Y/New+TSCT+Logo+%283%29.jpg?format=1500w,"A community trust working to enhance the social, economic, and environmental well-being of Tarbert and Skipness.",Not Found,PA29 6UD,55.86,-5.42
Tarbert Harbour Authority,community-energy-related,https://www.tarbertharbour.com/,https://www.tarbertharbour.com/wp-content/uploads/2019/04/Tarbert-Harbour-Authority-Logo.png,"Manages and maintains Tarbert Harbour for fishing, commercial, and leisure users.","Harbour Office, Tarbert, Argyll",PA29 6UD,55.86,-5.42
Tayport Community Trust,community-energy-related,https://www.tayportct.org.uk/,https://www.tayportct.org.uk/wp-content/uploads/2019/04/Tayport-Community-Trust-Logo.png,"Works to enhance the social, economic, and environmental well-being of Tayport.",Not Found,DD6 9LF,56.45,-2.9
Tayside Biodiversity Partnership,community-energy-related,https://www.taysidebiodiversity.co.uk/,https://www.taysidebiodiversity.co.uk/wp-content/uploads/2014/12/Tayside_Bio_Logo-2008-1024x371.jpg,A partnership working to conserve and enhance biodiversity across the Tayside region.,Not Found,PH1 5NX,56.39,-3.43
Teviotdale Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Teviotdale area.,Not Found,TD9 0AH,55.42,-2.78
The Borders Forest Trust,community-energy-member,https://bordersforesttrust.org/,https://bordersforesttrust.org/wp-content/uploads/2019/04/Borders-Forest-Trust-Logo.png,A charity dedicated to restoring native woodlands and wild places in the Scottish Borders.,"The Old Smiddy, Ancrum, Jedburgh",TD8 6XL,55.54,-2.56
The Burnhill Action Group,community-energy-group,Not Found,Not Found on Website,"A community action group focused on improving the local environment and community facilities in Burnhill, Rutherglen.","Burnhill Community Centre, 274 Burnhill St, Rutherglen, Glasgow",G73 1JB,55.82,-4.24
The Centre for Human Ecology,community-energy-related,https://www.che.ac.uk/,https://www.che.ac.uk/wp-content/uploads/2019/04/Centre-for-Human-Ecology-Logo.png,"An independent higher education and research charity focused on human ecology, sustainability, and community.","14 South Park Terrace, Edinburgh",EH10 5QB,55.93,-3.19
The Crinan Canal Association,community-energy-member,Not Found,Not Found on Website,A volunteer association promoting and preserving the Crinan Canal for leisure and its heritage.,Not Found,PA31 8SW,56.09,-5.59
The Ecology Centre,community-energy-related,https://www.theecologycentre.org/,"https://static.wixstatic.com/media/017df6_7d6b4b494f394b24b21d14a1a2081584~mv2.png/v1/fill/w_272,h_150,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Web.png","A community-led environmental education and conservation charity based in Kinghorn, Fife.","Kinghorn Loch, Kinghorn, Fife",KY3 9YL,56.07,-3.15
The Ericht Trust,community-energy-member,Not Found,Not Found,"A trust focused on the River Ericht, likely involved in environmental conservation, fishing, or local community benefits related to the river.",Not Found,PH10 7DD,56.57,-3.1
The Friendly Access,community-energy-member,https://friendlyaccess.org/,"https://static.wixstatic.com/media/3935a2_e317cca6adf34eaa875046f4fc6a25a9~mv2.png/v1/crop/x_125,y_0,w_678,h_716/fill/w_190,h_200,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/FA%20Logo_11_edited.png",A charity working to improve access and inclusion for people with disabilities in leisure and tourism.,Not Found,DD1 4HL,56.46,-2.98
The Furnishings Initiative,community-energy-member,Not Found,Not Found,"A social enterprise providing low-cost furniture and household goods, promoting reuse and reducing waste, and supporting local communities.","Unit 1, 46 South Elgin Street, Edinburgh",EH8 9RR,55.94,-3.18
The Garden Of Cosmic Speculation,community-energy-member,Not Found,Not Found,"A private landscape of unique design by Charles Jencks, open to the public only on specific days.","Portrack House, Holywood, Dumfries",DG2 0RW,55.1,-3.66
The Glencoe Folk Museum,community-energy-member,https://www.glencoemuseum.com/,"https://static.wixstatic.com/media/97d8fe_f3c7fbff2f494c979c62a4688c02ffec~mv2.png/v1/fill/w_828,h_624,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/Glencoe%20Logo%20lockup-15.png",A local museum preserving and interpreting the history and culture of Glencoe and the surrounding area.,"Glencoe Village, Ballachulish",PH49 4HS,56.68,-5.1
The Green Action Trust,community-energy-related,https://greenactiontrust.org/,https://greenactiontrust.org/wp-content/uploads/elementor/thumbs/gat-logo-1-qg0t1za4g9lhvhifgxtb57hozjsf70u9boi5ipq1zw.png,"A national charity and environmental regeneration organisation, working to deliver environmental projects across Scotland.",Not Found,FK10 3GR,56.12,-3.94
The Guild Of Architectural Ironmongers,community-energy-member,https://www.gai.org.uk/,https://www.gai.org.uk/wp-content/uploads/2019/04/GAI-Logo.png,"A professional body for architectural ironmongers, promoting standards, education, and professional development.","BPF House, 6 Bath Place, Rivington Street, London",EC2R 3DR,,
The Haven,community-energy-member,https://www.thehavencentre.com/,https://www.thehavencentre.com/wp-content/uploads/2019/04/The-Haven-Logo.png,Provides support and care services for individuals and families affected by life-limiting illnesses.,"Cadzow Bridge, Strathaven Road, Stonehouse, Larkhall",ML9 3EE,55.7,-3.98
The Heart of Newhaven Community,community-energy-related,https://www.heartofnewhaven.co.uk/,https://www.heartofnewhaven.co.uk/wp-content/uploads/2021/04/Heart-of-Newhaven-Community-Logo.png,"A community hub providing activities, services, and a focal point for the Newhaven area of Edinburgh.",Not Found,EH6 4NY,55.97,-3.18
The Haining Charitable Trust,community-energy-group,Not Found,Not Found,A charitable trust that owns and manages The Haining estate in Selkirk for the benefit of the community and visitors.,"The Haining, Selkirk",TD7 5LZ,55.56,-2.85
The Highland Council,community-energy-related,https://www.highland.gov.uk/,https://www.highland.gov.uk/wp-content/uploads/2019/04/Highland-Council-Logo.png,The local government authority for the Highland area of Scotland.,"Glenurquhart Road, Inverness",IV3 5NX,57.48,-4.23
The Highland Good Food Partnership,community-energy-related,https://www.highlandgoodfood.scot/,https://www.highlandgoodfood.scot/wp-content/uploads/2023/04/Highland-Good-Food-Partnership-Logo.png,"A partnership working to create a fairer, healthier, and more sustainable food system across the Highlands.",Not Found,IV1 1NA,57.48,-4.22
The Hub,community-energy-member,https://thehub.org.uk/,https://thehub.org.uk/wp-content/uploads/2019/04/The-Hub-Logo.png,"A multi-functional venue and events space in Edinburgh, also home to the Edinburgh International Festival.","Castlehill, Royal Mile, Edinburgh",EH1 2NE,55.95,-3.19
The Jean Armour Burns Trust,community-energy-group,Not Found,Not Found,"A trust dedicated to preserving the legacy of Jean Armour Burns, Robert Burns's wife, and supporting related heritage or educational projects.",Not Found,KA9 1DY,55.45,-4.47
The John Gray Centre,community-energy-member,https://www.johngraycentre.org/,https://www.johngraycentre.org/wp-content/uploads/2019/04/John-Gray-Centre-Logo.png,"A cultural centre in Haddington combining a museum, library, and archive, celebrating East Lothian's history and heritage.","15 Lodge Street, Haddington",EH41 3DX,55.95,-2.78
The Kintyre Trust,community-energy-group,https://www.skdt.org/,Not Found on Website,A charitable trust working to promote the well-being and development of communities in the Kintyre peninsula.,Not Found,PA28 6AP,55.43,-5.59
"The Lady Chapel, St Anne's",community-energy-member,Not Found,Not Found,"A specific chapel within St Anne's Church, likely providing a place of worship or community gathering.",Not Found,EH6 6NN,55.97,-3.17
The Loch Lomond & The Trossachs National Park Authority,community-energy-related,https://www.lochlomond-trossachs.org/,https://www.lochlomond-trossachs.org/wp-content/themes/loch-lomond/assets/images/logo-gae.png,"Manages and promotes the Loch Lomond & The Trossachs National Park, balancing conservation and tourism.","Carrochan Road, Balloch, Alexandria",G83 8EG,56,-4.58
The Lodge Forest Visitor Centre,community-energy-member,https://forestryandland.gov.scot/visit/forest-parks/queens-elizabeth/the-lodge-strathard,https://forestryandland.gov.scot/themes/custom/fls/assets/images/logo.png,"A visitor centre in the Queen Elizabeth Forest Park, offering walking trails, a waterfall, and wildlife viewing.","The Lodge, Aberfoyle, Stirling",FK8 3SX,56.17,-4.37
The Marches Energy Group,community-energy-group,Not Found,Not Found,A community benefit society promoting and investing in local renewable energy projects in the Marches region.,Not Found,HR4 0BY,52.05,-2.72
The Maryhill & Possilpark Initiative,community-energy-group,Not Found,Not Found,A local initiative focused on regeneration and community development in the Maryhill and Possilpark areas of Glasgow.,Not Found,G22 5EU,55.88,-4.27
The Mount Blair Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Mount Blair area.,Not Found,PH10 7AB,56.76,-3.45
The National Galleries of Scotland,community-energy-member,https://www.nationalgalleries.org/,https://www.nationalgalleries.org/wp-content/uploads/2019/04/National-Galleries-of-Scotland-Logo.png,"Comprises three national art galleries in Scotland, housing and exhibiting the national collection of fine art.","Scottish National Gallery, The Mound, Edinburgh",EH2 2EL,55.95,-3.19
The Nature Workshop,community-energy-member,https://thenatureworkshop.co.uk/,https://thenatureworkshop.co.uk/wp-content/uploads/2021/04/The-Nature-Workshop-Logo.png,"Provides outdoor learning, forest schools, and environmental education programmes for all ages.",Not Found,EH41 3EP,55.95,-2.78
The New Lanark Trust,community-energy-member,https://www.newlanark.org/,https://www.newlanark.org/wp-content/uploads/2019/04/New-Lanark-Trust-Logo.png,"A charitable trust preserving and managing the historic village of New Lanark, a UNESCO World Heritage Site.","New Lanark Mills, Lanark",ML11 9DB,55.67,-3.77
The North Harris Trust,community-energy-group,https://www.north-harris.org/,"https://static.wixstatic.com/media/cec29e_46803fedc456436197dd54133939f08a~mv2.jpg/v1/fill/w_240,h_200,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/cec29e_46803fedc456436197dd54133939f08a~mv2.jpg",A community land trust managing the North Harris Estate for the benefit of local residents and the environment.,"Trust Office, Tarbert, Isle of Harris",HS3 3DL,57.89,-6.8
The Pittenweem Arts Festival,community-energy-member,https://www.pittenweemartsfestival.co.uk/,https://www.pittenweemartsfestival.co.uk/wp-content/uploads/2019/04/Pittenweem-Arts-Festival-Logo.png,"An annual arts festival held in the Fife fishing village of Pittenweem, showcasing local and national artists.",Not Found,KY10 2PS,56.22,-2.72
The Royal College of Physicians of Edinburgh,community-energy-member,https://www.rcpe.ac.uk/,https://www.rcpe.ac.uk/sites/default/files/styles/banner/public/rcpe-logo.png,"A medical royal college providing education, training, and setting standards for physicians.","9 Queen Street, Edinburgh",EH2 1JQ,55.95,-3.2
The Royal High School Preservation Trust,community-energy-member,https://www.rhspt.org/,https://www.rhspt.org/wp-content/uploads/2019/04/RHSPT-Logo.png,A trust dedicated to preserving and restoring the historic Royal High School building in Edinburgh.,Not Found,EH7 5BB,55.95,-3.18
The Salvation Army,community-energy-member,https://www.salvationarmy.org.uk/,https://www.salvationarmy.org.uk/themes/custom/sa_theme/logo.svg,An international Christian church and charity working to support vulnerable people in communities worldwide.,"101 Newington Causeway, London",SE1 6BN,51.5,-0.1
The Scotland Europa Centre,community-energy-member,https://www.scotent.co.uk/doing-business-with-us/scotland-europa,Not Found on Website,"Represents Scottish interests in Brussels, connecting Scottish organizations with European opportunities and policymakers. (Part of Scottish Enterprise)",Not Found,EH3 9GL,55.95,-3.2
The Scottish Government,community-energy-member,https://www.gov.scot/,https://www.gov.scot/resources/images/scotland-gov-crest-desktop.png,"The devolved government for Scotland, responsible for a wide range of policy areas.","St Andrew's House, Regent Road, Edinburgh",EH1 3DG,55.95,-3.18
The Scottish Parliament,community-energy-member,https://www.parliament.scot/,https://www.parliament.scot/resources/images/SP-logo.png,"The devolved legislature of Scotland, responsible for making laws on devolved matters.","Holyrood, Edinburgh",EH99 1SP,55.95,-3.18
The Scottish Women's Aid,community-energy-member,https://womensaid.scot/,https://womensaid.scot/wp-content/uploads/2019/04/Scottish-Womens-Aid-Logo.png,"The national charity in Scotland working to prevent domestic abuse and provide support to women, children, and young people.",Not Found,EH1 3DA,55.95,-3.18
The Scottish Youth Hostel Association,community-energy-member,https://www.syha.org.uk/,https://www.syha.org.uk/wp-content/uploads/2019/04/SYHA-Logo.png,"A charitable organization providing affordable, quality accommodation in youth hostels across Scotland.",Not Found,EH3 6AA,55.95,-3.2
The ScottishEnergy Association,community-energy-member,Not Found,Not Found,Likely an association or body representing the energy industry in Scotland.,Not Found,EH1 3DG,55.95,-3.18
The Shetland Amenity Trust,community-energy-related,https://www.shetlandamenity.org/,https://www.shetlandamenity.org/wp-content/uploads/2019/04/Shetland-Amenity-Trust-Logo.png,A charity working to preserve and enhance Shetland's natural and cultural heritage.,"Gremista, Lerwick, Shetland",ZE1 0PX,60.15,-1.13
The Southern Uplands Partnership,community-energy-group,https://www.sup.org.uk/,https://www.sup.org.uk/wp-content/uploads/2019/04/Southern-Uplands-Partnership-Logo.png,A charitable company promoting sustainable development and integrated land management in the South of Scotland.,"Station House, Station Road, Biggar",ML12 6DP,55.62,-3.53
The Station House Media Arts Centre (SHMAC),community-energy-member,https://www.shmac.org.uk/,https://www.shmac.org.uk/wp-content/uploads/2019/04/SHMAC-Logo.png,A community media and arts centre providing creative opportunities and resources in South Shields.,"South Shields Town Hall, Westoe Road, South Shields",NE33 2RL,54.99,-1.43
The Stove Network,community-energy-member,https://www.thestove.org/,https://www.thestove.org/wp-content/uploads/2019/04/The-Stove-Network-Logo.png,A collective of artists and creative people working to regenerate Dumfries town centre through arts and cultural projects.,"100 High Street, Dumfries",DG1 2SW,55.07,-3.61
The Strachur and District Community Development Company,community-energy-group,https://communityenergy.scot/member/strachur-district-community-development-company/,Not Found on Website,"A community development company working to enhance the social, economic, and environmental well-being of Strachur and its district.",Not Found,PA27 8BX,56.13,-5.08
The Tall Ship at Riverside,community-energy-member,https://thetallship.com/,https://thetallship.com/wp-content/uploads/2019/04/The-Tall-Ship-Logo.png,A historic sailing ship and museum attraction located alongside the Riverside Museum in Glasgow.,"100 Stobcross Road, Glasgow",G3 8QQ,55.86,-4.3
The Thurso Community Development Trust,community-energy-group,https://thursocdt.co.uk/,https://images.squarespace-cdn.com/content/v1/62320e84d146e616749a81da/79f53b86-89b0-45bb-bbda-21aa534eab29/tcdt+logo.jpg?format=1500w,"Works to enhance the social, economic, and environmental well-being of Thurso.",Not Found,KW14 7AF,58.59,-3.52
The University of Edinburgh,community-energy-related,https://www.ed.ac.uk/,https://www.ed.ac.uk/themes/custom/edweb/assets/logo.svg,"A historic public research university located in Edinburgh, Scotland.","Old College, South Bridge, Edinburgh",EH8 9YL,55.95,-3.19
The Watermill,community-energy-related,https://www.aberfeldywatermill.com/,https://www.aberfeldywatermill.com/images/aberfeldy-watermill-logo.png,"An independent bookshop, gallery, and cafe located in a converted watermill in Aberfeldy.","Mill Street, Aberfeldy",PH15 2DA,56.62,-3.86
